,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
119,1359,12,88,11,4.0,A,4.0,0,1,0,0,0,0,0,0,0,0,0,Male,0.0,3502.0
120,1360,53,23,92,2.0,D,3.53,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
121,1361,95,39,49,4.0,A,3.6,1,0,0,0,0,1,0,0,0,0,0,Male,0.0,426.0
122,1362,86,77,73,2.0,A,3.34,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
123,1363,86,43,73,3.0,R,3.59,1,0,0,0,0,2,0,0,1,1,0,Female,0.0,0.0
124,1364,53,48,73,2.0,R,3.95,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
125,1365,80,17,73,4.0,A,3.68,0,0,0,0,0,2,0,0,0,0,0,Female,1.0,212.0
126,1366,77,94,49,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
127,1367,89,64,92,2.0,R,3.59,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
128,1368,36,23,30,4.0,D,3.37,0,0,1,0,0,1,0,0,1,1,0,Male,0.0,0.0
129,1369,65,92,11,2.0,R,3.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
130,1370,99,99,92,3.0,A,4.0,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,639.0
131,1371,96,74,73,1.0,R,3.71,0,0,0,0,0,2,0,0,0,0,0,Female,0.0,0.0
132,1372,73,94,11,4.0,A,3.0,0,0,0,0,0,1,0,0,0,0,2,Male,0.0,0.0
133,1373,28,98,11,4.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
134,1374,86,60,73,2.0,R,3.98,0,0,0,0,0,0,2,0,0,0,0,Female,0.0,0.0
135,1375,36,5,92,3.0,R,3.54,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
136,1376,73,39,96,2.0,A,3.82,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
137,1378,98,34,96,4.0,A,3.39,1,0,0,0,0,1,0,0,0,0,0,Female,0.0,2557.0
138,1382,63,91,45,4.0,R,3.25,1,0,0,0,0,0,0,0,1,1,0,Female,0.0,0.0
139,1383,82,54,67,2.0,A,3.51,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,1676.0
140,1384,89,61,29,2.0,A,3.36,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
141,1385,96,77,73,2.0,A,3.84,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,1827.0
142,1386,96,81,92,2.0,A,3.81,0,0,0,0,0,2,0,0,0,0,0,Female,0.0,0.0
143,1387,73,74,73,1.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
144,1388,15,56,49,2.0,D,3.4,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
145,1389,53,94,30,4.0,R,4.0,0,0,0,0,0,1,1,0,0,0,1,Female,0.0,0.0
