GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
53,97,11,4.0,A,3.0,0,0,0,0,0,1,0,0,0,0,Female,Not Reported,0.0,0.0
73,48,73,2.0,D,3.57,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
83,98,30,4.0,R,3.0,0,0,0,0,0,0,0,1,0,0,Female,Not Reported,0.0,0.0
99,48,73,2.0,A,2.85,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,640.0
36,1,30,4.0,D,3.33,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,0.0
53,48,49,2.0,D,2.38,0,0,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
49,97,30,4.0,A,3.76,0,0,1,0,0,1,0,1,0,0,Female,Not Reported,0.0,92.0
44,97,30,4.0,R,4.0,0,0,0,0,0,2,0,0,0,0,Male,Not Reported,0.0,0.0
83,90,11,4.0,A,4.0,0,0,0,0,0,2,0,0,0,1,Female,Not Reported,0.0,0.0
53,88,11,4.0,D,2.0,0,0,0,0,0,1,0,0,0,0,Female,Not Reported,0.0,0.0
40,9,30,4.0,R,3.49,0,0,0,0,0,3,0,0,0,0,Female,Black or African American,0.0,0.0
80,43,73,4.0,D,3.24,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
65,99,11,4.0,R,4.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
44,94,11,4.0,D,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
97,73,63,4.0,A,3.88,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,0.0
61,68,49,4.0,A,3.12,0,0,1,0,0,0,0,0,0,0,Male,Black or African American,0.0,0.0
73,25,35,3.0,A,2.97,1,0,0,0,0,0,0,0,0,0,Male,American Indian or Alaska Native,0.0,4110.0
93,69,93,1.0,R,3.96,0,0,0,0,1,0,1,1,0,0,Female,White,0.0,0.0
91,65,78,2.0,R,3.44,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
28,96,35,4.0,D,2.0,0,0,0,0,0,1,0,0,0,0,Female,Not Reported,0.0,0.0
95,81,96,1.0,A,3.58,1,0,0,0,0,2,0,1,0,0,Male,Not Reported,0.0,1642.0
77,35,49,1.0,A,3.73,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,1521.0
93,14,92,1.0,A,3.48,0,0,1,0,0,2,0,0,0,0,Female,Hispanic,1.0,456.0
62,61,0,4.0,A,3.79,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
81,24,37,4.0,A,3.26,1,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
94,69,48,1.0,A,3.84,0,0,1,0,0,1,1,0,0,0,Female,Asian,0.0,2342.0
95,74,73,2.0,A,3.83,0,0,1,0,0,1,1,0,0,0,Female,Not Reported,0.0,1461.0
10,52,11,4.0,R,3.33,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
95,45,93,2.0,A,3.9,1,0,0,0,0,0,0,0,0,0,Female,White,0.0,1918.0
58,91,14,4.0,D,3.0,0,0,1,0,1,0,0,0,0,1,Male,Not Reported,0.0,0.0
87,50,96,1.0,A,3.85,0,1,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
93,53,96,1.0,A,4.0,0,0,1,0,0,2,0,0,0,0,Female,White,0.0,792.0
99,61,54,1.0,R,3.43,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
78,18,35,1.0,A,3.0,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
93,75,78,4.0,A,3.75,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,181.0
91,22,54,4.0,D,2.8,0,0,0,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.0
0,0,0,1.0,A,3.38,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
96,61,54,1.0,A,2.93,0,0,1,0,0,2,0,0,0,0,Male,Not Reported,1.0,1277.0
